Date,Country/Region,Province/State,Lat,Long,Confirmed,Recovered,Deaths
1/22/20,Afghanistan,,33,65,0,0,0
1/23/20,Afghanistan,,33,65,0,0,0
1/24/20,Afghanistan,,33,65,0,0,0
1/25/20,Afghanistan,,33,65,0,0,0
1/26/20,Afghanistan,,33,65,0,0,0
1/27/20,Afghanistan,,33,65,0,0,0
1/28/20,Afghanistan,,33,65,0,0,0
1/29/20,Afghanistan,,33,65,0,0,0
1/30/20,Afghanistan,,33,65,0,0,0
1/31/20,Afghanistan,,33,65,0,0,0
2/1/20,Afghanistan,,33,65,0,0,0
2/2/20,Afghanistan,,33,65,0,0,0
2/3/20,Afghanistan,,33,65,0,0,0
2/4/20,Afghanistan,,33,65,0,0,0
2/5/20,Afghanistan,,33,65,0,0,0
2/6/20,Afghanistan,,33,65,0,0,0
2/7/20,Afghanistan,,33,65,0,0,0
2/8/20,Afghanistan,,33,65,0,0,0
2/9/20,Afghanistan,,33,65,0,0,0
2/10/20,Afghanistan,,33,65,0,0,0
2/11/20,Afghanistan,,33,65,0,0,0
2/12/20,Afghanistan,,33,65,0,0,0
2/13/20,Afghanistan,,33,65,0,0,0
2/14/20,Afghanistan,,33,65,0,0,0
2/15/20,Afghanistan,,33,65,0,0,0
2/16/20,Afghanistan,,33,65,0,0,0
2/17/20,Afghanistan,,33,65,0,0,0
2/18/20,Afghanistan,,33,65,0,0,0
2/19/20,Afghanistan,,33,65,0,0,0
2/20/20,Afghanistan,,33,65,0,0,0
2/21/20,Afghanistan,,33,65,0,0,0
2/22/20,Afghanistan,,33,65,0,0,0
2/23/20,Afghanistan,,33,65,0,0,0
2/24/20,Afghanistan,,33,65,1,0,0
2/25/20,Afghanistan,,33,65,1,0,0
2/26/20,Afghanistan,,33,65,1,0,0
2/27/20,Afghanistan,,33,65,1,0,0
2/28/20,Afghanistan,,33,65,1,0,0
2/29/20,Afghanistan,,33,65,1,0,0
3/1/20,Afghanistan,,33,65,1,0,0
3/2/20,Afghanistan,,33,65,1,0,0
3/3/20,Afghanistan,,33,65,1,0,0
3/4/20,Afghanistan,,33,65,1,0,0
3/5/20,Afghanistan,,33,65,1,0,0
3/6/20,Afghanistan,,33,65,1,0,0
3/7/20,Afghanistan,,33,65,1,0,0
3/8/20,Afghanistan,,33,65,4,0,0
3/9/20,Afghanistan,,33,65,4,0,0
3/10/20,Afghanistan,,33,65,5,0,0
3/11/20,Afghanistan,,33,65,7,0,0
3/12/20,Afghanistan,,33,65,7,0,0
3/13/20,Afghanistan,,33,65,7,0,0
3/14/20,Afghanistan,,33,65,11,0,0
3/15/20,Afghanistan,,33,65,16,0,0
3/16/20,Afghanistan,,33,65,21,1,0
3/17/20,Afghanistan,,33,65,22,1,0
3/18/20,Afghanistan,,33,65,22,1,0
3/19/20,Afghanistan,,33,65,22,1,0
3/20/20,Afghanistan,,33,65,24,1,0
3/21/20,Afghanistan,,33,65,24,1,0
3/22/20,Afghanistan,,33,65,40,1,1
3/23/20,Afghanistan,,33,65,40,1,1
1/22/20,Albania,,41.1533,20.1683,0,0,0
1/23/20,Albania,,41.1533,20.1683,0,0,0
1/24/20,Albania,,41.1533,20.1683,0,0,0
1/25/20,Albania,,41.1533,20.1683,0,0,0
1/26/20,Albania,,41.1533,20.1683,0,0,0
1/27/20,Albania,,41.1533,20.1683,0,0,0
1/28/20,Albania,,41.1533,20.1683,0,0,0
1/29/20,Albania,,41.1533,20.1683,0,0,0
1/30/20,Albania,,41.1533,20.1683,0,0,0
1/31/20,Albania,,41.1533,20.1683,0,0,0
2/1/20,Albania,,41.1533,20.1683,0,0,0
2/2/20,Albania,,41.1533,20.1683,0,0,0
2/3/20,Albania,,41.1533,20.1683,0,0,0
2/4/20,Albania,,41.1533,20.1683,0,0,0
2/5/20,Albania,,41.1533,20.1683,0,0,0
2/6/20,Albania,,41.1533,20.1683,0,0,0
2/7/20,Albania,,41.1533,20.1683,0,0,0
2/8/20,Albania,,41.1533,20.1683,0,0,0
2/9/20,Albania,,41.1533,20.1683,0,0,0
2/10/20,Albania,,41.1533,20.1683,0,0,0
2/11/20,Albania,,41.1533,20.1683,0,0,0
2/12/20,Albania,,41.1533,20.1683,0,0,0
2/13/20,Albania,,41.1533,20.1683,0,0,0
2/14/20,Albania,,41.1533,20.1683,0,0,0
2/15/20,Albania,,41.1533,20.1683,0,0,0
2/16/20,Albania,,41.1533,20.1683,0,0,0
2/17/20,Albania,,41.1533,20.1683,0,0,0
2/18/20,Albania,,41.1533,20.1683,0,0,0
2/19/20,Albania,,41.1533,20.1683,0,0,0
2/20/20,Albania,,41.1533,20.1683,0,0,0
2/21/20,Albania,,41.1533,20.1683,0,0,0
2/22/20,Albania,,41.1533,20.1683,0,0,0
2/23/20,Albania,,41.1533,20.1683,0,0,0
2/24/20,Albania,,41.1533,20.1683,0,0,0
2/25/20,Albania,,41.1533,20.1683,0,0,0
2/26/20,Albania,,41.1533,20.1683,0,0,0
2/27/20,Albania,,41.1533,20.1683,0,0,0
2/28/20,Albania,,41.1533,20.1683,0,0,0
2/29/20,Albania,,41.1533,20.1683,0,0,0
3/1/20,Albania,,41.1533,20.1683,0,0,0
3/2/20,Albania,,41.1533,20.1683,0,0,0
3/3/20,Albania,,41.1533,20.1683,0,0,0
3/4/20,Albania,,41.1533,20.1683,0,0,0
